"Class Group","Student's Gender","Average Course Evaluation Rating","Likes","Wishes"
"B","Female",4.4545,"the lecturer tries as much as possible to explain the contents  the lecturer is easy to talk to and ask questions where not understood","instead of netflix we can watch short youtube videos that explain a certain content"
"B","Male",4.6364,"very clear and understandable","no recommendation"
"B","Male",3.9091,"it is interactive  it is informing","be less strict"
"B","Female",4,"easy to understand  well explained","so far so good"
"B","Male",4,"mode of delivery","none"
"B","Female",4.5455,"the lecturers way of responding to questions  the way the concepts are developed each topic","the vocal variation of the lecturer during physical classes it is a bit difficult to follow through with his voice as it is low"
"B","Male",4.3636,"the topics are interesting  the notes are well developed","to include more quizes"
"B","Female",4.3636,"i like the fact that we have lecture notes  i appreciate the amount of extra resources provided to us and i appreciate the fac that our teacher is always willing to lend a helping hand","i have no recomendations"
"B","Male",5,"inhtegrating ineractive mode of delivery during labs","interactive mode in online classes"
"B","Female",5,"the lecturer clearly explains the concepts and also encourages people to engage in class participation  the meetings that a student sets is very important because they are able to get further assistance on the concepts","go through the lengthy topics again so that the students can remember the concepts"
"B","Female",4.4545,"business intelligence is a fascinating unit and the lecturer makes it more interesting with how he teaches and explains","group work assignments cause we do not really have group assignments"
"B","Female",4.6364,"1 interactive  2 interesting","so far none"
"B","Male",4,"the lessons are indulging and interesting  the concepts are well explained","more practical sessions"
"B","Male",4.9091,"the labs and quizzes are helpful","none"
"B","Male",4,"just add more notes and less slides","more elabotration on the labs many people are getting stuck in class and its discouraging them"
"B","Male",4.6364,"i like that we are able to solve real world problems in the business world with the concepts taught in class","i would recommend more of project based evaluation rather cats"
"B","Male",5,"the lecturer explains everything in a manner that makes it easy to understand","so far so good"
"B","Male",5,"1 i like that the teacher makes sure that all students understand before he moves on from a particular topic  2 i like that all questions from the students are perceived as valid and all are well answered","maybe the physical classes could have more teaching because teaching online and physically is not the same"
"B","Male",4.7273,"reading notes","it fine"
"B","Female",5,"the concepts are well explained  the lecurer is available when needed","so far so good"
"B","Male",4.6364,"noteslabs","na"
"B","Male",4.4545,"very indepth content about each topic  labs having a little assignment at the end help with understanding","na"
"B","Female",4,"i like the labs and the comprehensive notes for each topic","i think we should have a review of concepts that are a bit tricky at the end of the semester"
"B","Male",5,"the lecturer is passionate on his job  content is well understood","videos can be used for learning"
"C","Male",4.2727,"it intuitive  and fun","less complex slides"
"C","Male",4.4545,"multiple resources  clear outline","speak louder and audibly during the physical lessons"
"C","Male",4.1818,"1 classes start and end on time  2 communcation is done prior which gives me time to prepare for incoming activities","the class to be more engaging"
"C","Male",3.4545,"quite interactive  practical","na"
"C","Male",4.5455,"1 the quizzes are good as it helps to gauge my understanding  2 the content learnt is in depth and therefore enhances deep understanding","1 probably giving a price to the best performing to give others motivation to compete with the very best"
"C","Female",4,"the analogies used help me understand better the labs are quite simple to understand","try make the notes shorter because its quite hard to find motivation to go through 142 slides"
"C","Male",4.4545,"the content is interesting and is delivered in a efficient manner especially with the quizzes  there is enough material to make the unit easy to understand","maybe making separate slides instead of having all of them together cause it can be scary to see 190 slides before reading for a cat quiz or exam"
"C","Female",4.9091,"i like that is is very interactive and students are given the opportunity to air out their concerns in case one has not understood a particular concept  i also like that the labs are done in class with the lecturer as this helps in understanding the concept better","i would recommend more group work to be given using our already formed groups to encourage students in learning the concepts better"
"C","Male",2.9091,"working on lab manuals  looking at different concepts","having sliders that are not too worded or trying to incorporate more diagrams and illustrations to explain concepts"
"C","Female",4.5455,"it is highly practical  arranged in a chronological order","none"
"C","Male",5,"the notes  the planning","if the lecturer could speak a bit louder in physical class"
"C","Male",3.8182,"slides are well detailed  lecturer saves the online recordings","more quiizzes"
"C","Female",4.9091,"the lecturer tries as much as possible to ensure we understand","na"
"C","Female",5,"i like how organized all the material is including the google calendar  i like how detailed the lab assignments are","none"
"C","Female",5,"its complex but understandable","less content"
"C","Female",4.4545,"classes start and end on time  content is delivered well","the lecture slides are too many and tiresome to read few slides will be recommendableotherwise so far so good"
"C","Female",4.8182,"the concepts are clearly outlined and the notes are available before the lectures so i can read ahead  the lecturer takes us through the content well and answers the questions asked in class","i would have liked the cats to have less multiple choices and assess the understanding of concepts through open questions instead of recall"
"C","Female",4.5455,"1 it s practical  2 the lecturer is well versed with the content he is teaching","for us to review the lab work submissions of previous labs"
"C","Female",4.6364,"the explanation of concepts is quite clear through the explanations givenmaking understanding easy  the learning is gradual and covers the given scope","no recommendatios"
"C","Female",5,"the notes are very well presented","everything is okay"
"C","Male",3.5455,"punctuality  understanding","few and summarised slides notes"
"C","Male",4.2727,"teacher is good at teaching  lessons are easy to follow","no recommendation"
"C","Female",4.8182,"the pace of how the topics are developed","to provide more material to understand concept two better"
"C","Male",4.4545,"the lab manuals that help to fully understand the more practical aspects in bi  the quizzes that are hard but encourage you to read","allow is to do make up for our quizzes if we scored extremely low"
"C","Male",5,"the concepts learnt are expanded broadly  there is a quiz after each concept to check how well you know the concept or if you have to fine turn by readingunderstanding and also asking questions","the process so far has no flows it is a perfect learning experience i will recommend nothing for now"
"C","Male",4,"the unit is well developed for understanding  we are able to make references to real world scenarios","sometimes the lecture slides more too fast"
"C","Male",4.1818,"quizes after every unit  good lecture notes","the time limit in the quiz should be increased but so far i am enjoying the unit"
"C","Male",4.9091,"the teaching of this unit has been excellent so far the concepts are explained clearly with relevant businessrelated examples making them easier to understand  i enjoy learning this unit especially the practical bit being able to carry out the various algorithms using a spreadsheet is exciting","i have no recommendation to improve the teaching and learning of this unit because they way the unit is delivered is efficient and optimum"
"C","Female",4.2727,"i really enjoy the teaching method the teacher uses  i like how the content is well explained","the notes and slides are too many kindly maybe devide them into subtopics having 100 slide makes someone mentally descouraged from the start but fewer slides makes the task look managable"
"C","Female",4.3636,"i like the practical classes  the concepts are well explained","none"
"C","Female",4.1818,"the practical labs and quizzes are helpful in getting to understand concepts better  the lecturer is accommodating for student concerns","give more supplementary videos to watch"
"C","Female",4.4545,"i like that the lecturer does not rush through topics and always makes sure we understand","more explanation on how the theory concepts are applied to the labs for clarification"
"C","Male",4.3636,"the teaching is very detailed and interesting ","more quizzes to enhance understanding"
"C","Male",4.3636,"1 the quizes are extremely helpful in guiding us on what to expect in the cats  2 the labs are very well thought out to be honest best part about the unit","the slides have alot of writing and is cumbersome to go through if they could be in smaller and less wordy we would appreciate but so far the lecturer has been great and very understanding to us thank you"
"C","Female",4.5455,"organization","none"
"C","Male",4.4545,"its practical and interesting","all is well"
"C","Female",4.5455,"na","na"
"C","Male",4.5455,"1 notes are available when needed  2 elearning has been clearly labeled and sectioned to make it easier for the students to understand","na"
"C","Male",5,"1 the lecturer explains the concepts very well2 the lab manuals really help in the understanding of the concepts","we could probably be allowed to use python instead of r specifically"
"C","Female",4.8182,"the content is well explained and hence enjoyable to learn  quick and relevant feedback","i have no complaints"
"C","Female",4.9091,"the practical focus  the use of data to create positive benefits in the business environment","teaching how to actually come up with an algorithm using r"
